t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,u0,u1,u2,u3,u4
0.37,178.9847174,-2.062146379e-18,17.3072536,2.227457181e-22,6.130098951e-06,2.846180588e-22,0.997322168,-4.842347095e-21,0.07313339372,5.661983507e-21,66.48338812,2.096335753e-21,-9003.327219,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.38,178.9798617,-2.062109429e-18,17.306908,2.235025425e-22,6.044097184e-06,2.841414798e-22,0.9973221657,-4.841130646e-21,0.07313342408,5.663319864e-21,68.27931202,2.238323014e-21,-9003.41709,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.39,178.975006,-2.062071286e-18,17.30656779,2.242582342e-22,5.924960137e-06,2.836597548e-22,0.9973221636,-4.839910597e-21,0.07313345394,5.664653558e-21,70.07518738,2.384833368e-21,-9003.506958,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.4,178.9701504,-2.062031943e-18,17.30623286,2.250118318e-22,5.771430595e-06,2.831732542e-22,0.9973221614,-4.838686958e-21,0.07313348312,5.665984564e-21,71.87101421,2.535869176e-21,-9003.596822,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.41,178.9652949,-2.061991393e-18,17.30590314,2.257623865e-22,5.582282094e-06,2.826823508e-22,0.9973221593,-4.837459742e-21,0.07313351144,5.667312862e-21,73.66679251,2.691432784e-21,-9003.686682,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.42,178.9604394,-2.06194963e-18,17.30557851,2.265089625e-22,5.35631921e-06,2.821874189e-22,0.9973221573,-4.836228967e-21,0.07313353873,5.668638434e-21,75.46252229,2.851526529e-21,-9003.776539,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.43,178.9555841,-2.061906649e-18,17.30525888,2.272506381e-22,5.092377836e-06,2.816888346e-22,0.9973221554,-4.834994656e-21,0.0731335648,5.669961262e-21,77.25820356,3.016152734e-21,-9003.866391,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.44,178.9507288,-2.061862446e-18,17.30494417,2.279865052e-22,4.789325432e-06,2.811869755e-22,0.9973221536,-4.833756836e-21,0.07313358945,5.671281332e-21,79.05383633,3.185313713e-21,-9003.95624,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.45,178.9458736,-2.061817016e-18,17.30463425,2.287156704e-22,4.446061267e-06,2.806822199e-22,0.9973221519,-4.832515537e-21,0.07313361249,5.672598632e-21,80.84942061,3.359011767e-21,-9004.046085,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.46,178.9410185,-2.061770358e-18,17.30432904,2.294372554e-22,4.061516629e-06,2.801749472e-22,0.9973221504,-4.831270795e-21,0.07313363372,5.673913152e-21,82.64495641,3.537249185e-21,-9004.135926,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.47,178.9361636,-2.061722469e-18,17.30402844,2.301503969e-22,3.63465503e-06,2.796655372e-22,0.997322149,-4.83002265e-21,0.07313365293,5.675224884e-21,84.44044372,3.720028246e-21,-9004.225763,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.48,178.9313087,-2.061673349e-18,17.30373233,2.308542475e-22,3.164472384e-06,2.7915437e-22,0.9973221477,-4.828771146e-21,0.0731336699,5.676533824e-21,86.23588257,3.907351215e-21,-9004.315596,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.49,178.9264541,-2.061622997e-18,17.30344062,2.315479761e-22,2.649997168e-06,2.786418259e-22,0.9973221467,-4.82751633e-21,0.07313368442,5.677839967e-21,88.03127296,4.099220347e-21,-9004.405425,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.5,178.9215995,-2.061571414e-18,17.3031532,2.322307679e-22,2.09029057e-06,2.781282846e-22,0.9973221458,-4.826258254e-21,0.07313369626,5.679143313e-21,89.8266149,4.295637885e-21,-9004.49525,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.51,178.9167452,-2.061518601e-18,17.30286995,2.32901825e-22,1.48444661e-06,2.776141257e-22,0.9973221451,-4.824996974e-21,0.07313370519,5.680443863e-21,91.6219084,4.496606059e-21,-9004.58507,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.52,178.911891,-2.061464562e-18,17.30259078,2.335603669e-22,8.31592252e-07,2.770997278e-22,0.9973221447,-4.823732548e-21,0.07313371098,5.68174162e-21,93.41715346,4.702127089e-21,-9004.674886,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.53,178.907037,-2.061409299e-18,17.30231558,2.342056307e-22,1.308874927e-07,2.765854686e-22,0.9973221445,-4.82246504e-21,0.0731337134,5.683036591e-21,95.21235009,4.912203181e-21,-9004.764698,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.54,178.9021832,-2.061352815e-18,17.30204423,2.348368713e-22,-6.184745658e-07,2.760717243e-22,0.9973221446,-4.821194516e-21,0.07313371221,5.684328782e-21,97.0074983,5.12683653e-21,-9004.854506,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.55,178.8973296,-2.061295117e-18,17.30177663,2.35453362e-22,-1.41726766e-06,2.7555887e-22,0.997322145,-4.819921047e-21,0.07313370715,5.685618204e-21,98.80259811,5.346029321e-21,-9004.944309,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.56,178.8924763,-2.061236209e-18,17.30151266,2.360543946e-22,-2.266232328e-06,2.750472788e-22,0.9973221457,-4.818644706e-21,0.07313369799,5.686904868e-21,100.5976495,5.569783724e-21,-9005.034107,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.57,178.8876231,-2.061176098e-18,17.30125221,2.366392799e-22,-3.166075889e-06,2.745373217e-22,0.9973221466,-4.81736557e-21,0.07313368446,5.68818879e-21,102.3926525,5.798101899e-21,-9005.123901,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.58,178.8827703,-2.06111479e-18,17.30099518,2.372073477e-22,-4.117472437e-06,2.740293675e-22,0.997322148,-4.816083718e-21,0.07313366633,5.689469985e-21,104.1876071,6.030985993e-21,-9005.213691,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.59,178.8779176,-2.061052295e-18,17.30074144,2.377579475e-22,-5.121062856e-06,2.735237827e-22,0.9973221497,-4.814799234e-21,0.07313364331,5.690748472e-21,105.9825134,6.268438143e-21,-9005.303476,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.6,178.8730653,-2.06098862e-18,17.30049089,2.382904482e-22,-6.177454851e-06,2.730209309e-22,0.9973221517,-4.813512205e-21,0.07313361517,5.692024271e-21,107.7773713,6.510460471e-21,-9005.393256,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.61,178.8682132,-2.060923775e-18,17.30024341,2.388042391e-22,-7.28722299e-06,2.725211726e-22,0.9973221542,-4.812222719e-21,0.07313358162,5.693297405e-21,109.5721808,6.757055089e-21,-9005.483031,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.62,178.8633614,-2.060857771e-18,17.29999889,2.392987292e-22,-8.450908769e-06,2.720248654e-22,0.9973221571,-4.810930869e-21,0.0731335424,5.694567898e-21,111.3669419,7.008224099e-21,-9005.572802,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.63,178.8585099,-2.060790617e-18,17.29975721,2.397733483e-22,-9.669020689e-06,2.715323632e-22,0.9973221604,-4.80963675e-21,0.07313349724,5.695835777e-21,113.1616548,7.263969587e-21,-9005.662568,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.64,178.8536588,-2.060722327e-18,17.29951826,2.402275468e-22,-1.094203435e-05,2.710440163e-22,0.9973221641,-4.808340458e-21,0.07313344588,5.697101071e-21,114.9563192,7.524293629e-21,-9005.752329,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.65,178.848808,-2.060652912e-18,17.29928192,2.406607959e-22,-1.227039257e-05,2.705601713e-22,0.9973221684,-4.807042094e-21,0.07313338802,5.698363809e-21,116.7509354,7.789198291e-21,-9005.842085,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.66,178.8439575,-2.060582386e-18,17.29904809,2.410725878e-22,-1.365450548e-05,2.700811705e-22,0.9973221731,-4.80574176e-21,0.07313332341,5.699624025e-21,118.5455032,8.058685625e-21,-9005.931836,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.67,178.8391074,-2.060510761e-18,17.29881664,2.414624359e-22,-1.50947507e-05,2.696073518e-22,0.9973221784,-4.804439561e-21,0.07313325175,5.700881752e-21,120.3400228,8.332757672e-21,-9006.021582,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.68,178.8342576,-2.060438054e-18,17.29858746,2.41829875e-22,-1.659147348e-05,2.691390487e-22,0.9973221842,-4.803135604e-21,0.07313317277,5.702137027e-21,122.134494,8.61141646e-21,-9006.111323,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.69,178.8294082,-2.060364278e-18,17.29836044,2.421744615e-22,-1.814498687e-05,2.686765901e-22,0.9973221905,-4.801829999e-21,0.07313308619,5.703389888e-21,123.9289169,8.894664007e-21,-9006.201059,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.7,178.8245592,-2.060289451e-18,17.29813547,2.424957733e-22,-1.975557189e-05,2.682202997e-22,0.9973221974,-4.800522856e-21,0.07313299171,5.704640374e-21,125.7232916,9.182502319e-21,-9006.290789,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.71,178.8197106,-2.060213587e-18,17.29791242,2.427934101e-22,-2.142347776e-05,2.677704961e-22,0.997322205,-4.799214288e-21,0.07313288906,5.705888526e-21,127.5176179,9.474933391e-21,-9006.380515,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.72,178.8148625,-2.060136705e-18,17.29769119,2.430669936e-22,-2.314892206e-05,2.673274927e-22,0.9973222131,-4.797904411e-21,0.07313277795,5.707134389e-21,129.311896,9.771959204e-21,-9006.470235,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.73,178.8100148,-2.060058822e-18,17.29747166,2.433161672e-22,-2.493209102e-05,2.668915972e-22,0.9973222219,-4.796593341e-21,0.0731326581,5.708378007e-21,131.1061258,1.007358173e-20,-9006.55995,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.74,178.8051675,-2.059979957e-18,17.29725372,2.435405965e-22,-2.677313971e-05,2.664631117e-22,0.9973222314,-4.795281196e-21,0.07313252921,5.709619427e-21,132.9003074,1.037980293e-20,-9006.649659,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.75,178.8003206,-2.059900128e-18,17.29703726,2.437399692e-22,-2.867219232e-05,2.660423323e-22,0.9973222415,-4.793968097e-21,0.07313239099,5.710858696e-21,134.6944407,1.069062475e-20,-9006.739364,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.76,178.7954743,-2.059819355e-18,17.29682216,2.439139951e-22,-3.062934241e-05,2.656295491e-22,0.9973222523,-4.792654163e-21,0.07313224315,5.712095865e-21,136.4885258,1.100604913e-20,-9006.829062,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.77,178.7906284,-2.059737657e-18,17.29660831,2.440624061e-22,-3.264465319e-05,2.652250459e-22,0.9973222639,-4.791339519e-21,0.07313208542,5.713330984e-21,138.2825627,1.132607799e-20,-9006.918755,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.78,178.785783,-2.059655056e-18,17.29639561,2.441849565e-22,-3.471815781e-05,2.648291001e-22,0.9973222762,-4.790024286e-21,0.07313191749,5.714564107e-21,140.0765514,1.165071326e-20,-9007.008443,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.79,178.7809381,-2.059571573e-18,17.29618393,2.442814227e-22,-3.684985968e-05,2.644419826e-22,0.9973222893,-4.788708591e-21,0.07313173907,5.715795288e-21,141.8704918,1.197995683e-20,-9007.098125,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.8,178.7760938,-2.059487229e-18,17.29597318,2.443516031e-22,-3.903973274e-05,2.640639574e-22,0.9973223032,-4.787392558e-21,0.07313154988,5.717024582e-21,143.664384,1.231381059e-20,-9007.187802,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.81,178.7712499,-2.059402047e-18,17.29576324,2.443953187e-22,-4.128772183e-05,2.636952817e-22,0.9973223179,-4.786076314e-21,0.07313134962,5.718252047e-21,145.4582281,1.265227643e-20,-9007.277472,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.82,178.7664067,-2.059316048e-18,17.295554,2.444124122e-22,-4.359374302e-05,2.633362057e-22,0.9973223334,-4.784759987e-21,0.07313113801,5.71947774e-21,147.2520239,1.299535623e-20,-9007.367137,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.83,178.7615639,-2.059229257e-18,17.29534537,2.444027488e-22,-4.595768392e-05,2.629869724e-22,0.9973223497,-4.783443703e-21,0.07313091475,5.720701722e-21,149.0457716,1.334305183e-20,-9007.456797,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.84,178.7567218,-2.059141696e-18,17.29513722,2.443662153e-22,-4.837940408e-05,2.626478174e-22,0.997322367,-4.782127592e-21,0.07313067957,5.721924053e-21,150.8394711,1.36953651e-20,-9007.54645,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.85,178.7518802,-2.05905339e-18,17.29492945,2.443027209e-22,-5.085873534e-05,2.623189689e-22,0.9973223851,-4.780811783e-21,0.07313043216,5.723144795e-21,152.6331224,1.405229787e-20,-9007.636098,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
