time_s,p_rads,q_rads,r_rads,H_inertial_mag,T_rot_J,T_drift_rel
0.8450000000,0.0845096353,0.3656779907,0.4578601240,0.0054288359,0.0015945273,-0.1559533241
0.8500000000,0.0840257012,0.3656688565,0.4575330671,0.0054261187,0.0015929343,-0.1567965362
0.8550000000,0.0835423715,0.3656586656,0.4572067107,0.0054234029,0.0015913430,-0.1576388776
0.8600000000,0.0830596462,0.3656474211,0.4568810538,0.0054206886,0.0015897534,-0.1584803493
0.8650000000,0.0825775256,0.3656351264,0.4565560958,0.0054179757,0.0015881653,-0.1593209524
0.8700000000,0.0820960099,0.3656217847,0.4562318358,0.0054152642,0.0015865790,-0.1601606880
0.8750000000,0.0816150994,0.3656073993,0.4559082731,0.0054125541,0.0015849942,-0.1609995571
0.8800000000,0.0811347941,0.3655919734,0.4555854068,0.0054098454,0.0015834111,-0.1618375608
0.8850000000,0.0806550944,0.3655755102,0.4552632361,0.0054071382,0.0015818296,-0.1626747003
0.8900000000,0.0801760003,0.3655580131,0.4549417603,0.0054044324,0.0015802498,-0.1635109765
0.8950000000,0.0796975121,0.3655394851,0.4546209784,0.0054017280,0.0015786716,-0.1643463905
0.9000000000,0.0792196299,0.3655199295,0.4543008897,0.0053990250,0.0015770950,-0.1651809433
0.9050000000,0.0787423539,0.3654993495,0.4539814934,0.0053963235,0.0015755200,-0.1660146362
0.9100000000,0.0782656843,0.3654777483,0.4536627885,0.0053936233,0.0015739466,-0.1668474700
0.9150000000,0.0777896212,0.3654551291,0.4533447742,0.0053909246,0.0015723749,-0.1676794459
0.9200000000,0.0773141647,0.3654314951,0.4530274498,0.0053882273,0.0015708048,-0.1685105649
0.9250000000,0.0768393151,0.3654068494,0.4527108144,0.0053855314,0.0015692363,-0.1693408280
0.9300000000,0.0763650724,0.3653811952,0.4523948670,0.0053828369,0.0015676695,-0.1701702364
0.9350000000,0.0758914368,0.3653545357,0.4520796069,0.0053801438,0.0015661042,-0.1709987911
0.9400000000,0.0754184084,0.3653268740,0.4517650332,0.0053774522,0.0015645405,-0.1718264931
0.9450000000,0.0749459874,0.3652982132,0.4514511449,0.0053747619,0.0015629785,-0.1726533434
0.9500000000,0.0744741738,0.3652685565,0.4511379414,0.0053720731,0.0015614181,-0.1734793432
0.9550000000,0.0740029677,0.3652379070,0.4508254215,0.0053693856,0.0015598592,-0.1743044935
0.9600000000,0.0735323694,0.3652062678,0.4505135846,0.0053666996,0.0015583020,-0.1751287952
0.9650000000,0.0730623788,0.3651736420,0.4502024296,0.0053640149,0.0015567464,-0.1759522495
0.9700000000,0.0725929961,0.3651400327,0.4498919558,0.0053613317,0.0015551924,-0.1767748574
0.9750000000,0.0721242214,0.3651054430,0.4495821621,0.0053586499,0.0015536399,-0.1775966200
0.9800000000,0.0716560547,0.3650698760,0.4492730478,0.0053559694,0.0015520891,-0.1784175381
