time_s,h_m,v_vert_mps,v_horiz_mps,E_total_J,E_drift_rel
7.62000000,2763.19411800,74.75220000,0.00000000,29900.88000000,0.00000000
7.65000000,2760.94713750,75.04650000,0.00000000,29900.88000000,0.00000000
7.68000000,2758.69132800,75.34080000,0.00000000,29900.88000000,0.00000000
7.71000000,2756.42668950,75.63510000,0.00000000,29900.88000000,0.00000000
7.74000000,2754.15322200,75.92940000,0.00000000,29900.88000000,0.00000000
7.77000000,2751.87092550,76.22370000,0.00000000,29900.88000000,0.00000000
7.80000000,2749.57980000,76.51800000,0.00000000,29900.88000000,0.00000000
7.83000000,2747.27984550,76.81230000,0.00000000,29900.88000000,0.00000000
7.86000000,2744.97106200,77.10660000,0.00000000,29900.88000000,0.00000000
7.89000000,2742.65344950,77.40090000,0.00000000,29900.88000000,0.00000000
7.92000000,2740.32700800,77.69520000,0.00000000,29900.88000000,0.00000000
7.95000000,2737.99173750,77.98950000,0.00000000,29900.88000000,0.00000000
7.98000000,2735.64763800,78.28380000,0.00000000,29900.88000000,0.00000000
8.01000000,2733.29470950,78.57810000,0.00000000,29900.88000000,0.00000000
8.04000000,2730.93295200,78.87240000,0.00000000,29900.88000000,0.00000000
8.07000000,2728.56236550,79.16670000,0.00000000,29900.88000000,0.00000000
8.10000000,2726.18295000,79.46100000,0.00000000,29900.88000000,0.00000000
8.13000000,2723.79470550,79.75530000,0.00000000,29900.88000000,0.00000000
8.16000000,2721.39763200,80.04960000,0.00000000,29900.88000000,0.00000000
8.19000000,2718.99172950,80.34390000,0.00000000,29900.88000000,0.00000000
8.22000000,2716.57699800,80.63820000,0.00000000,29900.88000000,0.00000000
8.25000000,2714.15343750,80.93250000,0.00000000,29900.88000000,0.00000000
8.28000000,2711.72104800,81.22680000,0.00000000,29900.88000000,0.00000000
8.31000000,2709.27982950,81.52110000,0.00000000,29900.88000000,0.00000000
8.34000000,2706.82978200,81.81540000,0.00000000,29900.88000000,0.00000000
8.37000000,2704.37090550,82.10970000,0.00000000,29900.88000000,0.00000000
8.40000000,2701.90320000,82.40400000,0.00000000,29900.88000000,0.00000000
8.43000000,2699.42666550,82.69830000,0.00000000,29900.88000000,0.00000000
8.46000000,2696.94130200,82.99260000,0.00000000,29900.88000000,0.00000000
8.49000000,2694.44710950,83.28690000,0.00000000,29900.88000000,0.00000000
8.52000000,2691.94408800,83.58120000,0.00000000,29900.88000000,0.00000000
8.55000000,2689.43223750,83.87550000,0.00000000,29900.88000000,0.00000000
8.58000000,2686.91155800,84.16980000,0.00000000,29900.88000000,0.00000000
8.61000000,2684.38204950,84.46410000,0.00000000,29900.88000000,0.00000000
8.64000000,2681.84371200,84.75840000,0.00000000,29900.88000000,0.00000000
8.67000000,2679.29654550,85.05270000,0.00000000,29900.88000000,0.00000000
8.70000000,2676.74055000,85.34700000,0.00000000,29900.88000000,0.00000000
8.73000000,2674.17572550,85.64130000,0.00000000,29900.88000000,0.00000000
8.76000000,2671.60207200,85.93560000,0.00000000,29900.88000000,0.00000000
8.79000000,2669.01958950,86.22990000,0.00000000,29900.88000000,0.00000000
8.82000000,2666.42827800,86.52420000,0.00000000,29900.88000000,0.00000000
8.85000000,2663.82813750,86.81850000,0.00000000,29900.88000000,0.00000000
8.88000000,2661.21916800,87.11280000,0.00000000,29900.88000000,0.00000000
8.91000000,2658.60136950,87.40710000,0.00000000,29900.88000000,0.00000000
8.94000000,2655.97474200,87.70140000,0.00000000,29900.88000000,0.00000000
8.97000000,2653.33928550,87.99570000,0.00000000,29900.88000000,0.00000000
9.00000000,2650.69500000,88.29000000,0.00000000,29900.88000000,0.00000000
9.03000000,2648.04188550,88.58430000,0.00000000,29900.88000000,0.00000000
