t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,u0,u1,u2,u3,u4
0.79,179.0980882,-2.060812446e-18,15.98460304,2.20485775e-22,-0.005317540538,2.81396325e-22,0.9976605623,-4.765575832e-21,0.06836228755,5.742090564e-21,141.9464746,1.382189059e-20,-9006.993073,6.938702838e-21,-0.02992345923,-3.00609125e-20,0.1318426547,0.1318426547
0.8,179.0963402,-2.060765637e-18,15.9824211,2.202872226e-22,-0.005256741098,2.813093811e-22,0.9976623692,-4.764228502e-21,0.06833591356,5.743544682e-21,143.7425114,1.421490303e-20,-9007.078982,6.938702838e-21,-0.0299068089,-3.00609125e-20,0.1318767097,0.1318767097
0.81,179.0945893,-2.060718537e-18,15.98035924,2.200717697e-22,-0.005198090106,2.812300333e-22,0.997664155,-4.762883946e-21,0.06830983746,5.744997031e-21,145.5385325,1.461354181e-20,-9007.164814,6.938702838e-21,-0.02989085611,-3.00609125e-20,0.131910595,0.131910595
0.82,179.092836,-2.06067116e-18,15.97841306,2.198394549e-22,-0.005141508785,2.811583944e-22,0.9976659204,-4.761542184e-21,0.06828404873,5.746447702e-21,147.3345379,1.501781044e-20,-9007.250571,6.938702838e-21,-0.02987557528,-3.00609125e-20,0.1319443109,0.1319443109
0.83,179.0910805,-2.060623525e-18,15.97657831,2.195903303e-22,-0.005086921246,2.810945716e-22,0.9976676662,-4.76020324e-21,0.06825853724,5.747896791e-21,149.1305279,1.542771239e-20,-9007.336252,6.938702838e-21,-0.02986094175,-3.00609125e-20,0.1319778573,0.1319778573
0.84,179.0893231,-2.060575648e-18,15.97485093,2.193244615e-22,-0.005034254384,2.810386664e-22,0.997669393,-4.758867139e-21,0.06823329322,5.74934439e-21,150.9265023,1.584325103e-20,-9007.421856,6.938702838e-21,-0.02984693179,-3.00609125e-20,0.1320112344,0.1320112344
0.85,179.0875642,-2.060527547e-18,15.97322697,2.190419276e-22,-0.004983437773,2.80990775e-22,0.9976711015,-4.757533908e-21,0.06820830727,5.750790587e-21,152.7224614,1.626442966e-20,-9007.507385,6.938702838e-21,-0.02983352252,-3.00609125e-20,0.1320444422,0.1320444422
0.86,179.085804,-2.060479239e-18,15.97170265,2.187428206e-22,-0.004934403568,2.809509876e-22,0.9976727924,-4.756203575e-21,0.06818357033,5.752235475e-21,154.5184051,1.669125156e-20,-9007.592837,6.938702838e-21,-0.0298206919,-3.00609125e-20,0.132077481,0.132077481
0.87,179.0840428,-2.060430741e-18,15.97027431,2.184272459e-22,-0.004887086413,2.809193887e-22,0.9976744663,-4.75487617e-21,0.06815907368,5.753679139e-21,156.3143336,1.712371991e-20,-9007.678212,6.938702838e-21,-0.02980841871,-3.00609125e-20,0.1321103508,0.1321103508
0.88,179.0822809,-2.060382071e-18,15.96893843,2.180953215e-22,-0.004841423347,2.808960572e-22,0.9976761237,-4.753551725e-21,0.0681348089,5.755121668e-21,158.110247,1.756183786e-20,-9007.763512,6.938702838e-21,-0.02979668249,-3.00609125e-20,0.1321430518,0.1321430518
0.89,179.0805185,-2.060333248e-18,15.96769163,2.177471783e-22,-0.004797353716,2.808810661e-22,0.9976777653,-4.75223027e-21,0.0681107679,5.756563148e-21,159.9061452,1.800560848e-20,-9007.848734,6.938702838e-21,-0.02978546354,-3.00609125e-20,0.1321755841,0.1321755841
0.9,179.0787559,-2.060284288e-18,15.96653064,2.173829598e-22,-0.004754819093,2.808744827e-22,0.9976793915,-4.75091184e-21,0.06808694288,5.758003663e-21,161.7020285,1.84550348e-20,-9007.93388,6.938702838e-21,-0.02977474288,-3.00609125e-20,0.1322079481,0.1322079481
0.91,179.0769933,-2.06023521e-18,15.96545232,2.170028217e-22,-0.004713763189,2.808763683e-22,0.9976810029,-4.749596468e-21,0.06806332631,5.759443296e-21,163.4978968,1.891011981e-20,-9008.01895,6.938702838e-21,-0.02976450223,-3.00609125e-20,0.1322401439,0.1322401439
0.92,179.075231,-2.060186032e-18,15.96445364,2.166069323e-22,-0.004674131781,2.808867787e-22,0.9976826001,-4.748284188e-21,0.06803991097,5.760882131e-21,165.2937503,1.937086642e-20,-9008.103942,6.938702838e-21,-0.02975472397,-3.00609125e-20,0.1322721717,0.1322721717
