u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
179.0653299087,-0.0000000000,17.3184774060,0.0000000000,-0.0000332671,0.0000000000,0.9985855574,-0.0000000000,0.0531684554,0.0000000000,183.5401751221,0.0000000000,-9001.8337117992
179.0634003658,-0.0000000000,17.3183751261,0.0000000000,-0.0000348808,0.0000000000,0.9985855755,-0.0000000000,0.0531681151,0.0000000000,187.1379943264,0.0000000000,-9001.8695847182
179.0614715876,-0.0000000000,17.3182710716,0.0000000000,-0.0000365237,0.0000000000,0.9985855944,-0.0000000000,0.0531677586,0.0000000000,190.7357749715,0.0000000000,-9001.9054530818
179.0595435881,-0.0000000000,17.3181651612,0.0000000000,-0.0000381947,0.0000000000,0.9985856143,-0.0000000000,0.0531673856,0.0000000000,194.3335170702,0.0000000000,-9001.9413168093
179.0576163810,-0.0000000000,17.3180573189,0.0000000000,-0.0000398923,0.0000000000,0.9985856351,-0.0000000000,0.0531669957,0.0000000000,197.9312206351,0.0000000000,-9001.9771758202
179.0556899794,-0.0000000000,17.3179474745,0.0000000000,-0.0000416154,0.0000000000,0.9985856567,-0.0000000000,0.0531665888,0.0000000000,201.5288856793,0.0000000000,-9002.0130300330
179.0537643960,-0.0000000000,17.3178355633,0.0000000000,-0.0000433624,0.0000000000,0.9985856793,-0.0000000000,0.0531661645,0.0000000000,205.1265122158,0.0000000000,-9002.0488793662
179.0518396430,-0.0000000000,17.3177215263,0.0000000000,-0.0000451322,0.0000000000,0.9985857028,-0.0000000000,0.0531657227,0.0000000000,208.7241002577,0.0000000000,-9002.0847237374
179.0499157323,-0.0000000000,17.3176053099,0.0000000000,-0.0000469232,0.0000000000,0.9985857273,-0.0000000000,0.0531652631,0.0000000000,212.3216498184,0.0000000000,-9002.1205630640
179.0479926753,-0.0000000000,17.3174868663,0.0000000000,-0.0000487340,0.0000000000,0.9985857527,-0.0000000000,0.0531647855,0.0000000000,215.9191609114,0.0000000000,-9002.1563972630
179.0460704827,-0.0000000000,17.3173661531,0.0000000000,-0.0000505634,0.0000000000,0.9985857791,-0.0000000000,0.0531642897,0.0000000000,219.5166335502,0.0000000000,-9002.1922262505
179.0441491649,-0.0000000000,17.3172431336,0.0000000000,-0.0000524097,0.0000000000,0.9985858065,-0.0000000000,0.0531637756,0.0000000000,223.1140677487,0.0000000000,-9002.2280499425
179.0422287320,-0.0000000000,17.3171177766,0.0000000000,-0.0000542717,0.0000000000,0.9985858349,-0.0000000000,0.0531632429,0.0000000000,226.7114635206,0.0000000000,-9002.2638682541
179.0403091933,-0.0000000000,17.3169900562,0.0000000000,-0.0000561478,0.0000000000,0.9985858642,-0.0000000000,0.0531626916,0.0000000000,230.3088208800,0.0000000000,-9002.2996811003
179.0383905579,-0.0000000000,17.3168599520,0.0000000000,-0.0000580366,0.0000000000,0.9985858946,-0.0000000000,0.0531621215,0.0000000000,233.9061398411,0.0000000000,-9002.3354883953
